article_number,filename,topic_name,case_number,offsets
0,"""0Albany, NY-AlbanyDemocratHerald-01.txt""",Protester,1,"[[149, 344, ""Brandishing homemade signs and waving at passing  cars, more than 60 people supporting the Occupy Wall Street movement lined up  in downtown Albany late Friday afternoon to deliver their message.""], [345, 417, ""About five counter-demonstrators were also on hand with signs asking for""], [445, 510, ""and occasionally debating with individuals from the larger group.""], [511, 541, ""The demonstration was peaceful""], [712, 774, ""“A lot of people here are retired, or unemployed or students,”""], [1591, 1636, ""By 5 p.m. the crowd had swelled to almost 70.""], [1637, 1822, ""Those at the rally lined up on all four corners of Fourth and Ellsworth showing their signs to passing traffic and pedestrians. Orner said the idea was to demonstrate for about an hour.""]]"
38,"""38Albany, NY-theassociatedpressstatelocalwire-09.txt""",Protester,1,"[[263, 352, ""Dozens of Occupy Albany protesters, young and old, entered New York's Capitol on Thursday""], [397, 524, ""Security guards asked the group to stop chanting while they asked questions and then let them into the building's public space.""], [970, 1056, ""Protester Michael Fisk said more than 50 were headed to Cuomo's office in the Capitol.""]]"
38,"""38Albany, NY-theassociatedpressstatelocalwire-09.txt""",Protester,2,"[[843, 969, ""Some Albany protesters have been camped in a nearby park since Friday, where the initial Occupy Albany demonstration was held.""]]"
202,"""202Albany, NY-TimesUnion-04.txt""",Protester,2,"[[3746, 3908, ""protesters uprooted their last tent and carried it around the city through rush-hour traffic, then returned it to the park across Washington Avenue from the state""], [3909, 3916, ""Capitol""]]"
418,"""418Atlanta-theassociatedpressstatelocalwire-03.txt""",Protester,1,"[[582, 686, ""The demonstrators have been in the park illegally for the past 6 days, in violation of a city ordinance.""]]"
418,"""418Atlanta-theassociatedpressstatelocalwire-03.txt""",Protester,2,"[[1976, 2143, ""The Occupy Atlanta protesters left the park briefly Tuesday to march to the Atlanta headquarters of Bank of America. The group swelled to nearly 200 at the bank plaza.""]]"
476,"""476Atlanta-theatlantajournalconstitution-09.txt""",Protester,1,"[[448, 661, ""As about 150 protesters stood outside the Bank of America on Peachtree Street on Tuesday afternoon, a security guard escorted employees from the building. Scott Brown of Duluth was among the marchers, who say they""], [1217, 1258, ""Police maintained only a low-key presence""]]"
476,"""476Atlanta-theatlantajournalconstitution-09.txt""",Protester,2,"[[741, 923, ""A group of more than 100 calling themselves Occupy Atlanta protesters set up a barricade around their tent city as they gathered in Woodruff Park in Atlanta on Monday, Oct. 10, 2011.""], [4230, 4346, ""Occupy Atlanta, rallying against corporate greed and the war in Afghanistan, set up stakes in the park Friday night.""]]"
557,"""557Atlanta-Copyofwww.myfoxatlanta.com-07.txt""",Protester,1,"[[767, 950, ""the city said they were forced to shutdown a planned hip hop festival. City representatives said the festival did not obtain all the proper permits and could not continue as a result.""]]"
577,"""577Atlanta-Copyofwww.wsbtv.com_occupyatlanta-08.txt""",Protester,1,"[[1711, 1852, ""The group marched Friday evening from the park to a homeless shelter on Peachtree and Pine streets, blocking traffic on the downtown streets.""]]"
578,"""578Atlanta-Copyofwww.wsbtv.com_occupyatlanta-08.txt""",Protester,1,"[[954, 1096, ""Earlier in the day, about 40 Occupy Atlanta protestors marched down Peachtree Street for a rally in support of struggling downtown businesses.""]]"
696,"""696Austin-Copyofwww.kvue.com_occupyaustin-18.txt""",Protester,1,"[[117, 221, ""It has been almost five weeks since Occupy Austin protesters took up residence outside Austin City Hall.""]]"
779,"""779Austin-austinamericanstatesmantexas-03.txt""",Protester,1,"[[2816, 2971, ""The Austin movement began to gel Sept. 29 , when about 500 people flocked to the coffeehouse Ruta Maya on South Congress Avenue to talk about the protests.""], [3312, 3359, ""That first protest drew more than 1,000 people.""]]"
934,"""934Bangor-BangorDailyNews-01.txt""",Protester,1,"[[423, 530, ""Occupy Bangor protesters at Peirce Park in Bangor on Saturday, Nov. 5, 2011 for family day. The small group""], [711, 806, ""some 20 Occupy Bangor demonstrators gathered Saturday to celebrate a day for kids and families.""], [1488, 1579, ""Shawn Yardley, director of the city of Bangor’s Department of Health and Community Services""]]"
982,"""982Baton Rouge-theadvocate.com_occupybatonRouge-02.txt""",Protester,1,"[[126, 247, ""70 people carried signs and chanted slogans through the downtown streets Saturday as part of an Occupy Baton Rouge rally.""], [421, 538, ""The crowd marched past the closed main offices of Capital One and Chase banks. Downtown Baton Rouge was largely empty""], [1002, 1114, ""the group marched past the LSU Shaw Center for the Arts to the levee by the USS Kidd Veterans Memorial & Museum.""]]"
982,"""982Baton Rouge-theadvocate.com_occupybatonRouge-02.txt""",Protester,2,"[[2025, 2081, ""125 who gathered at the State Capitol prior to the march""], [2187, 2215, ""the Occupy rally on Saturday""]]"
1008,"""1008Bethlehem, PA-theassociatedpressstatelocalwire-04.txt""",Protester,1,"[[245, 291, ""who set up tents near a Pennsylvania city hall""], [800, 867, ""The demonstrators had been camping in Bethlehem since late October.""]]"
1039,"""1039Bloomington, IN-IDSnews-01.txt""",Protester,1,"[[190, 259, ""About 40 members of Occupy Bloomington prepared for the 5 p.m. march.""], [1065, 1145, ""Members of Occupy Bloomington gathered at the Sample Gates to start the protest.""]]"
1039,"""1039Bloomington, IN-IDSnews-01.txt""",Protester,2,"[[1263, 1312, ""The crowd began to march west on Kirkwood Avenue.""], [2425, 2483, ""The march continued around the Courthouse Square downtown.""], [2484, 2513, ""Walking back to Peoples Park,""], [242, 259, ""the 5 p.m. march.""]]"
1169,"""1169Boston-thenewenglandcablenews-34.txt""",Protester,1,"[[59, 146, ""The battle over a sink: it's latest dispute between police and members of Occupy Boston""], [452, 690, ""Protesters at Dewey Square tried Thursday to bring in a stainless steel sink to clean dishes. Officers said the sink was inappropriate and took it away - resulting in a scuffle and creating even more tension between police and protesters.""], [844, 981, ""Twenty-five-year-old Gary Williams was arrested and was in court this morning. He allegedly assaulted a police officer during the tussle.""], [691, 843, ""\""The police presence here was ridiculous,\"" said protester John Murphy. \""There's no need for that. all that time and money spent for taking away a sink.\""""]]"
1186,"""1186Boston-thephoenixnews-03.txt""",Protester,1,"[[4760, 4939, ""Occupy  Boston protesters march alongside Veterans for Peace, as well as other activist groups such as Jobs with Justice and the AFL-CIO, at Downtown Crossing on October 13, 2011.""]]"
1186,"""1186Boston-thephoenixnews-03.txt""",Protester,2,"[[4940, 5182, ""On November 17, 2011, hundreds of Occupy Boston and MassUniting marchers (labor unions, community organizers; SEUI, Local Ironworkers, Jobs for Justice, and more) took to the city streets again in solidarity with another global day of action.""]]"
1203,"""1203Boston-wcvbchannel5-35.txt""",Protester,1,"[[151, 253, ""A group called Occupy Boston took over Dewey Square in Boston Friday night holding a 60s-style sit in.""]]"
1312,"""1312Chapel Hill-Carrboro-chapelhillheralddurhamnc-05.txt""",Protester,1,"[[178, 352, ""As Occupy Chapel Hill moved from the Peace and Justice Plaza down to Greenbridge Development and back on Thursday night, they were accompanied by the presence of blue lights.""], [353, 403, ""The crowd marched approximately 120 people strong,""], [618, 677, ""Occupy Chapel Hill/Carrboro organized the Solidarity March.""], [1049, 1101, ""Thursday's march began after that evening's meeting.""], [1962, 2069, ""The group marched down Franklin Street, and looped around on Rosemary, walking in front of and around cars.""], [2776, 2883, ""In addition to the normal downtown officers, the police employed three additional cars for traffic control,""], [2896, 2963, ""\""The event went well; the crowd generally stayed on the sidewalks,\""""]]"
1340,"""1340Charleston, SC-abcnews4-01.txt""",Protester,1,"[[166, 248, ""Saturday morning, more than a hundred people came together to take an active stand""], [296, 309, ""demonstration""], [1307, 1366, ""Heavy police presence was on hand during the demonstration.""]]"
1340,"""1340Charleston, SC-abcnews4-01.txt""",Protester,2,"[[425, 517, ""At noon, marchers walked from Mall Playground on Columbus Street to Marion Square as well as""]]"
1340,"""1340Charleston, SC-abcnews4-01.txt""",Protester,3,"[[518, 542, ""Meeting and King Street.""], [425, 492, ""At noon, marchers walked from Mall Playground on Columbus Street to""]]"
1366,"""1366Charleston, SC-theassociatedpress-08.txt""",Protester,1,"[[1499, 1552, ""Occupy Charleston got a permit to stay at a city park""], [1553, 1604, ""beginning Wednesday, and about 30 people showed up.""]]"
1368,"""1368Charleston, SC-live5news-03.txt""",Protester,1,"[[172, 264, ""Nine protesters who were arrested following an Occupy Charleston demonstration Tuesday night""], [587, 699, ""Charleston City Police arrested 10 people just after midnight Wednesday at Marion Square in downtown Charleston.""], [700, 719, ""About 30 protesters""], [869, 905, ""40 to 50 police officers watched on.""], [906, 1036, ""Justin Robert Honea was charged with prohibited activity in a public park. Nine other people were arrested on trespassing charges.""], [1329, 1372, ""Occupiers took to the streets Tuesday night""]]"
1386,"""1386Charleston, WV-thecharlestongazette-02.txt""",Protester,1,"[[638, 693, ""where they have been assembled for more than two weeks.""], [1774, 1882, ""The protesters moved to Davis Park about a week ago from their previous encampment at Haddad Riverfront Park""], [425, 426, "".""]]"
1549,"""1549Chicago-ChicagoTribune-01.txt""",Protester,1,"[[416, 473, ""In front of the memorial to Abraham Lincoln in Grant Park""], [841, 926, ""\""Occupy My Heart: A Revolutionary Christmas Carol,\"" by writer-activist William Turck,""], [1559, 1604, ""a single outdoor performance Friday afternoon""], [1701, 1766, ""The small and chilled crowd, joined by several perplexed tourists""]]"
1668,"""1668Cincinnati-FOX19-03.txt""",Protester,1,"[[179, 251, ""Hundreds gathered at Lytle Park Saturday morning to \""Occupy Cincinnati.\""""], [2343, 2456, ""It's estimated that about 500 people took part in the protest.  Cincinnati Police say it remained a peaceful one.""]]"
1668,"""1668Cincinnati-FOX19-03.txt""",Protester,2,"[[252, 329, ""The group then marched through downtown, and wound its way to Fountain Square""], [2343, 2456, ""It's estimated that about 500 people took part in the protest.  Cincinnati Police say it remained a peaceful one.""]]"
1668,"""1668Cincinnati-FOX19-03.txt""",Protester,3,"[[314, 329, ""Fountain Square""], [2343, 2456, ""It's estimated that about 500 people took part in the protest.  Cincinnati Police say it remained a peaceful one.""]]"
1767,"""1767Cleveland, TN-ClevelandBanner-01.txt""",Protester,1,"[[181, 337, ""Cleveland Wednesday with six people marching from Johnston Park to the Bradley County Courthouse Plaza where they held signs and waved to passing motorists.""], [4518, 4644, ""who marched around the Bradley County Courthouse Sunday afternoon protesting the “Equal Access to Public Property Act of 2012”""]]"
1885,"""1885Columbia, SC-midlandsconnect-07.txt""",Protester,1,"[[140, 265, ""Occupy Columbia protesters took their rally on the road Tuesday evening, marching from the State House to Columbia City Hall.""], [266, 296, ""Nearly 100 protesters came out""]]"
1897,"""1897Columbia, SC-wistv-04.txt""",Protester,1,"[[241, 379, ""- A protest group who says there is a problem with greed, government and Wall Street took their cause to the State House Saturday morning.""], [380, 488, ""Around 150 protesters, calling themselves \""Occupy Columbia\"", gathered in front of the State House at 9:00am.""]]"
1959,"""1959Dallas-DallasNews.com-02.txt""",Protester,1,"[[814, 929, ""Twenty-three Occupy Dallas demonstrators were arrested last month for blocking the entrance to a Chase bank nearby.""], [2056, 2107, ""Since the first Occupy Dallas demonstration Oct. 6,""]]"
2025,"""2025Dallas-thedallasmorningnewstexas-09.txt""",Protester,1,"[[330, 482, ""A few dozen protesters who marched Thursday as part of the Occupy Dallas movement aren't ready to give up just yet -- after spending the night downtown.""], [676, 823, ""As many as 500 demonstrators marched through downtown Thursday carrying signs condemning corporate greed and chanting for change in the government.""], [1518, 1703, ""While the majority of the crowd dispersed Thursday afternoon following the march on the Federal Reserve Bank of Dallas, a handful of campaigners still held posters on the street corner.""]]"
2335,"""2335Denver-theassociatedpressstatelocalwire-20.txt""",Protester,1,"[[221, 326, ""Anti-Wall Street protesters are demonstrating outside a Walmart distribution center in northern Colorado.""], [327, 382, ""About 30 people were at the site in Loveland on Monday.""], [383, 500, ""The Loveland Reporter-Herald ( http://bit.ly/vyRvni) reported that one person was arrested for obstructing a roadway.""], [501, 578, ""The protesters are from occupy movements in Denver, Fort Collins and Greeley.""], [579, 714, ""The demonstration is intended to show support for protesters along the West Coast trying to disrupt some of the nation's busiest ports.""]]"
2439,"""2439Des Moines-TheDesMoinesRegister-03.txt""",Protester,1,"[[198, 290, ""Eight \""Occupy\"" protesters were arrested at Iowa Democratic Party headquarters in Des Moines.""], [420, 469, ""Each was to be charged with criminal trespassing.""], [470, 575, ""These eight people were cited Monday for trespassing at Iowa Democratic Party headquarters in Des Moines:""], [900, 991, ""two prominent Democratic Party sites in Des Moines after eight people were arrested Monday.""], [1467, 1585, ""But on Saturday, after a pair of protests at President Barack Obama’s Des Moines campaign office at 621 E. Second St.,""], [1705, 1749, ""They couldn’t get inside the office, though,""]]"
2439,"""2439Des Moines-TheDesMoinesRegister-03.txt""",Protester,2,"[[1750, 1850, ""and about 11 a.m. Monday protesters moved to Iowa Democratic Party headquarters at 5661 Fleur Drive.""], [1939, 2007, ""and make them listen to us,” said Daniel Bragg of Occupy Des Moines.""], [2008, 2235, ""Police told 12 protesters that they could either leave or be arrested. Eight people, whose hands were zip-tied behind their backs, were placed in a police wagon and transported to the Des Moines police station at around 2 p.m.,""], [2300, 2321, ""criminal trespassing,""]]"
2460,"""2460Des Moines-TheDesMoinesRegister-03.txt""",Protester,1,"[[253, 391, ""Five Occupy Des Moines members were arrested in Ankeny this morning after blocking the doors to Ron Paul’s Iowa presidential headquarters,""], [662, 809, ""Ivers said the Occupiers arrived at the office, a suite located at 207 NE Delaware Ave., around 8 a.m. and were dispersed within a couple of hours.""], [810, 886, ""The property’s landlord — not campaign staffers — called police to the scene""], [900, 963, ""“A little more than a half dozen” protesters showed up in total""], [975, 1093, ""“(The Ankeny Police) asked them to leave; they chose not to,” Ivers said. “I think a few were arrested and taken away.""]]"
2643,"""2643Eureka-HumboltSentinel-03.txt""",Protester,1,"[[1270, 1595, ""Eureka Police Department officers were dispatched to US Bank this Wednesday in response to a report that protesters in dark clothes and masks were causing a disturbance by shouting and banging on the bank’s window with a big stick. Officers found the activists a few blocks away, protesting outside Bank of America and Chase.""]]"
2727,"""2727Flint-Minbc-04.txt""",Protester,1,"[[161, 209, ""On Friday the grass roots effort moved to Flint.""], [210, 344, ""Hundreds of people descended on downtown Flint for the event that started around 12:00p.m. on the corner of Saginaw and First Streets.""]]"
2794,"""2794Frederick-Gazette.Net-01.txt""",Protester,1,"[[210, 370, ""Armed with posters, slogans and umbrellas, more than 40 protesters on Wednesday gathered at the intersection of Market and Patrick streets in downtown Frederick""]]"
2822,"""2822Gainesville-Alligator-01.txt""",Protester,1,"[[257, 365, ""Occupy Gainesville started its occupation of the city Wednesday at 8 a.m. at the Bo Diddley Community Plaza.""], [366, 521, ""Protesters peacefully marched to Wells Fargo and Bank of America to persuade people to close their bank accounts and educate them about banking in America.""], [522, 599, ""After 20 years, Coral MacDonald, 47, closed his account with Bank of America.""], [696, 883, ""MacDonald said bank officials wouldn't allow him to enter the bank holding his flag, which read \""occupy or live a lie.\"" He gave it to another protester and walked in to close his account.""], [884, 1000, ""He said he has been planning on closing his bank account since he saw the increased debit card rates six months ago.""], [1001, 1086, ""He walked out, cut his then-unusable card in front of his old bank and threw it away.""], [1087, 1163, ""MacDonald said he has moved his money from Bank of America to a credit union""]]"
2869,"""2869Hartford-HartfordCourant-02.txt""",Protester,2,"[[2092, 2183, ""Occupy Hartford protesters speak their minds during a sit-in at the State Capitol Thursday.""], [2184, 2307, ""State Capitol police stand by under a large statue of an angel during Occupy Hartford's sit-in protest at the State Capitol""]]"
2947,"""2947Houston-Click2houston-01.txt""",Protester,1,"[[457, 569, ""Hundreds of people with Occupy Houston protested in downtown Houston beginning at Market Square Park, 301 Milam.""], [570, 626, ""They marched to the J.P. Morgan Chase Tower, 600 Travis,""], [953, 1044, ""Protesters assembled at Hermann Square in front of Houston City Hall, 901 Bagby, at 10 a.m.""]]"
3072,"""3072Iowa City-IowaCityPatch-07.txt""",Protester,1,"[[100, 134, ""College Green Park on Friday night""], [338, 364, ""Between 200 and 300 people""], [1098, 1217, ""included the employed, the underemployed, and unemployed; local politicians, college students, children and the elderly""], [1708, 1725, ""at least 15 tents""]]"
3391,"""3391Lexington-Fayette, KY-Rawstory-06.txt""",Protester,1,"[[122, 294, ""A small group of demonstrators on Thursday joined in solidarity with the “Occupy Wall Street” protesters by assembling outside a JPMorgan Chase bank in Lexington, Kentucky.""]]"
3443,"""3443Little Rock-kthv-01.txt""",Protester,1,"[[76, 253, ""Occupiers marched the streets in support of bank transfer day. They want people to take money out of large bank branches and transfer it to smaller local banks or credit unions.""], [440, 513, ""Even children attended today's effort to stand up to the corporate world.""], [689, 921, ""The movement did not go without guidance from the Little Rock police force. Officers lead the protestors through the streets to ensure safety and in an effort to keep things orderly.   Once occupiers hit the streets they led chants.""], [922, 1038, ""Adam Lansky was one of the hundreds marching and says the most important part of today's event is to bring awareness""]]"
3443,"""3443Little Rock-kthv-01.txt""",Protester,2,"[[254, 390, ""Protesters met at the River Fest amphitheater to rally and motivate each other before they took to the streets of downtown Little Rock .""], [440, 512, ""Even children attended today's effort to stand up to the corporate world""]]"
3456,"""3456LongBeach-citynewsservice-11.txt""",Protester,1,"[[235, 331, ""Two people were arrested and two others were cited at a weekend Occupy Long Beach demonstration,""], [351, 470, ""Between 30 and 45 people took part peacefully in Sunday's demonstration in Lincoln Park at Broadway and Pacific Avenue,""]]"
3468,"""3468LongBeach-PressTelegram-03.txt""",Protester,1,"[[916, 1091, ""The ongoing schedule agreement was reached through consultation between police and leaders of the now 11-day-old occupation of the park next to City Hall at 333 W. Ocean Blvd.""]]"
3474,"""3474LongBeach-SignalTribune-02.txt""",Protester,1,"[[307, 505, ""Long Beach residents and community organizers took to the streets and gathered at Lincoln Park in the city’s downtown district last weekend to protest in solidarity with the Occupy Together movement""], [1481, 1594, ""for the general assembly that continued well into Sunday, as people began setting up temporary shelters at night.""], [3058, 3223, ""Police officials said that as the night neared 10pm, the hour in which the park closed, the group grew to approximately 75 in attendance and were warned to disperse.""], [3224, 3440, ""Most subjects proceeded to exit the park and move onto the sidewalk, however police officials made the decision to arrest 30-year-old Jason James and a minor for failing to comply with the request to vacate the park.""]]"
3474,"""3474LongBeach-SignalTribune-02.txt""",Protester,2,"[[1312, 1441, ""more than 250 students, community advocates and educators occupied and rallied in the city’s financial district Saturday morning.""]]"
3474,"""3474LongBeach-SignalTribune-02.txt""",Protester,3,"[[1442, 1480, ""The crowd then marched to Lincoln Park""], [4536, 4593, ""Protesters march across 4th Street in downtown Long Beach""]]"
3557,"""3557LosAngeles-KABCNews-09.txt""",Protester,1,"[[774, 893, ""Occupy L.A. protesters once again took to the streets on Saturday, with one person reportedly being arrested by police.""], [894, 1007, ""The person was reportedly arrested at the Bank of America branch at 6th and Hill streets in downtown Los Angeles.""], [1008, 1090, ""Demonstrators had gathered there, with some allegedly banging on the locked doors.""]]"
3638,"""3638LosAngeles-LATimes-05.txt""",Protester,1,"[[134, 159, ""Saturday in a large march""], [288, 360, ""At least one person was arrested during Saturday’s heavily policed march""], [390, 450, ""for failing to follow police orders to stay on the sidewalk.""], [746, 963, ""marched past the headquarters of the Los Angeles Police Department and to the Twin Towers Correctional Facility, where many Occupy arrestees had been detained. A line of police officers in riot gear blocked the doors.""], [1223, 1311, ""About 100 Los Angeles police officers and private security guards trailed the protesters""]]"
3850,"""3850LosAngeles-associatedpressonline-23.txt""",Protester,1,"[[642, 753, ""The march, which has been peaceful, began shortly after noon Thursday at the Occupy LA encampment at City Hall.""], [754, 849, ""Three people were arrested earlier when the crowd spilled off the sidewalk and into the street.""]]"
3850,"""3850LosAngeles-associatedpressonline-23.txt""",Protester,2,"[[237, 353, ""Police are making arrests at the Bank of America Plaza where some Occupy Wall Street sympathizers have set up tents.""], [354, 487, ""Police announced shortly before 4 p.m. that protesters had 15 minutes to pack up their tents and leave the plaza area or face arrest.""], [488, 641, ""About 27 protesters linked arms and stood in a circle with police in riot gear nearby. So far eight people have been taken into custody without incident.""]]"
3856,"""3856LosAngeles-whittierdailynewscalifornia-13.txt""",Protester,1,"[[1848, 1857, ""Thursday.""], [1858, 2275, ""That's when the LAPD, decked out in full SWAT regalia, descended en masse on Occupy L.A. marchers joined by union members as they made their way up Broadway north of Fourth Street at about noon, across from Grand Central Market downtown. Police quickly closed Broadway, fencing off the street and sidewalk, ensuring that pedestrians wouldn't be able to see as they made what one witness later called a violent arrest.""], [2613, 2738, ""it was a shock to see the LAPD march in parade-style, with squad cars stacked as far as the eye could see down Fourth Street,""], [5442, 5530, ""including two young men who simply crossed a police line at an early-morning union march""]]"
