article_number,filename,topic_name,case_number,offsets
3856,"""3856LosAngeles-whittierdailynewscalifornia-13.txt""",Protester,4,"[[10012, 10152, ""On Sunday, L.A.-based band Aztlan Underground played and indigenous dancers performed in traditional costume on the south lawn of City Hall.""]]"
3889,"""3889LosAngeles-contracostatimescalifornia-27.txt""",Protester,1,"[[3317, 3537, ""The Dec. 12 action was hatched at Occupy Los Angeles when it voted to shut down SSA terminals at the Port of Los Angeles and Long Beach in solidarity with truckers who were fired when they tried to unionize, Peller said.""]]"
3930,"""3930LosAngeles-LosAngelesDailyNews-03.txt""",Protester,1,"[[606, 681, ""people camped on the lawn for Occupy L.A., which turns one month old today.""], [2310, 2404, ""Occupy L.A. began Oct. 1 when protesters set up about 40 tents  on the north side of City Hall""]]"
3970,"""3970LosAngeles-NBC-06.txt""",Protester,1,"[[537, 671, ""The Service Employees International Union and United Long Term Care Workers, California's largest union, joined the march Wednesday --""], [1026, 1068, ""the Full Rights for Immigration Coalition,""]]"
4103,"""4103Miami-NBCMiami-05.txt""",Protester,1,"[[1388, 1484, ""The group had gathered on Saturday, as hundreds of protestors gathered along Biscayne Boulevard,""], [1620, 1710, ""They marched several blocks to Government Center where they continued their demonstration.""], [1711, 1776, ""Drivers honked to show their support as protestors stood outside.""], [1963, 2009, ""number of protestors had been more than 1,000.""]]"
4117,"""4117Miami-WSVN-03.txt""",Protester,1,"[[451, 484, ""This is the third day of protests""], [735, 821, ""Sunday night, close to two dozen tents were pitched in front of the government center.""]]"
4141,"""4141Milwaukee-theassociatedpressstatelocalwire-04.txt""",Protester,1,"[[324, 393, ""hundreds of protesters marched through downtown Milwaukee on Saturday""], [487, 511, ""Protesters carried signs""], [952, 1059, ""The Milwaukee-based group gathered at a park and marched several blocks to bank buildings. Marchers chanted""]]"
4141,"""4141Milwaukee-theassociatedpressstatelocalwire-04.txt""",Protester,2,"[[1584, 1749, ""Other protesters held yellow crime-scene tape in front of the entrances of buildings housing Chase and M&I Bank branches, with police silently standing at the doors.""]]"
4157,"""4157Milwaukee-WISN-02.txt""",Protester,1,"[[1139, 1235, ""The first Occupy Milwaukee protest at Zeidler Park on Oct. 15 drew more than 1,000 participants.""]]"
4202,"""4202Minneapolis-CBS4-03.txt""",Protester,1,"[[82, 170, ""Hundreds of protesters demonstrating with Occupy Minnesota set up tents Friday afternoon""], [474, 589, ""They set up the tents on grass lawns and used clear material so that what went on inside the tents would be visible""], [593, 676, ""authorities, who are watching over the protest and recording it with video cameras.""], [1287, 1394, ""None of the tent-making protesters have been arrested and the tents have remained untouched by authorities.""], [1767, 1917, ""Around the tents, protesters made a human chain. And by 7:15 p.m., it consisted of more than 100 protesters, all of which were willing to be arrested.""]]"
4202,"""4202Minneapolis-CBS4-03.txt""",Protester,3,"[[314, 448, ""The protesters marched into the southern part of the government plaza at around 4:30 p.m., carrying clear, plastic tents and chanting,""]]"
4264,"""4264Minneapolis-theassociatedpressstatelocalwire-01.txt""",Protester,1,"[[340, 438, ""The Occupy Minneapolis protesters have set up a couple of tents in front of Minneapolis City Hall,""]]"
4280,"""4280Minneapolis-StarTribune-08.txt""",Protester,2,"[[1480, 1607, ""Beginning at 5:30 p.m. Wednesday, speaker after speaker rallied the group on the plaza. State Rep. Karen Clark, DFL-Minneapolis""], [2128, 2165, ""Several members of Veterans for Peace""]]"
4324,"""4324Missoula-Missoulian-07.txt""",Protester,1,"[[1467, 1611, ""And by the way, the march Oct. 15 visited the offices of Sens. Max Baucus and Jon Tester as well as Rep. Denny Rehberg and the Wells Fargo Bank.""]]"
4429,"""4429Nashville-www.newschannel5.com-09.txt""",Protester,1,"[[370, 476, ""That state policy could force Occupy Nashville members to leave the place they have protested for 20 days.""]]"
4444,"""4444Nashville-www.tennessean.com-02.txt""",Protester,1,"[[233, 305, ""More than 200 rally in Public Square Park for Occupy Nashville Saturday.""], [541, 626, ""Hundreds of marchers from across Tennessee converged Saturday in Nashville to protest""], [808, 939, ""protesters chanted during a city-sanctioned march that threaded a six-block loop between the Metro Courthouse and Legislative Plaza""], [2304, 2573, ""Marchers threaded up Deaderick Street to Sixth Avenue, looped around to Union and marched back to the courthouse. There was no visible police presence, and the marchers took pains to stay on the sidewalk and stick to the route outlined on the permit issued by the city.""]]"
4444,"""4444Nashville-www.tennessean.com-02.txt""",Protester,2,"[[1075, 1215, ""A small group of protesters in Nashville has been occupying Legislative Plaza for the past week and plans to continue doing so indefinitely.""], [3003, 3085, ""Over the past week, Occupy Nashville has made itself at home on Legislative Plaza.""]]"
4444,"""4444Nashville-www.tennessean.com-02.txt""",Protester,3,"[[1216, 1302, ""Before the march came a rally, in which participants took turns sharing their stories.""], [1566, 1588, ""the crowd of 200-plus.""], [2264, 2303, ""Saturday’s rally was an orderly affair.""]]"
4659,"""4659NewYork-cnnwire-02.txt""",Protester,1,"[[232, 239, ""Friday,""], [2009, 2059, ""Friday's protest in Manhattan's financial district""], [5781, 5918, ""Protesters descended on the privately-owned park near the New York Stock Exchange on September 17 to protest the nation's ailing economy.""], [1789, 1952, ""police had arrested 14 demonstrators, after they sat down in roadways and blocked traffic, overturned trash bins, knocked over a police scooter and hurled bottles.""]]"
4690,"""4690NewYork-newyorkpost.com-07.txt""",Protester,1,"[[1837, 1965, ""more than 100 protesters joined last night’s Halloween Parade in Greenwich Village, with several dressed as “corporate zombies.”""]]"
4760,"""4760NewYork-www.ny1.com-11.txt""",Protester,2,"[[259, 434, ""Demonstrators marched from their main gathering point in Zuccotti Park to police headquarters Friday to shine light on what they say is excessive force used by the department.""], [927, 1031, ""For the first time, a major labor union joined the protest, which has since moved back to Zuccotti Park.""]]"
4797,"""4797NewYork-www.villagevoice.comnews-06.txt""",Protester,1,"[[4905, 5068, ""At the end of November, those unions and OWS people joined up with CUNY students for a large rally at Baruch while the board of trustees voted on the tuition hikes""]]"
4973,"""4973Oakland-contracostatimescalifornia-12.txt""",Protester,1,"[[255, 329, ""A dozen progressives, led  part way by Richmond Mayor Gayle McLaughlin, on""], [330, 410, ""Wednesday marched from Richmond to downtown Oakland in support of Occupy Oakland""], [411, 434, ""and the general strike.""], [909, 973, ""\""We are marching in solidarity with the Occupy Oakland movement.""], [2655, 2697, ""A small group representing Occupy Richmond""]]"
4981,"""4981Oakland-contracostatimescalifornia-12.txt""",Protester,2,"[[221, 252, ""7:43 p.m. Protesters hit by car""], [253, 332, ""Protesters marching from Frank Ogawa Plaza to the Port of Oakland have been hit""], [333, 342, ""by a car.""]]"
5047,"""5047Oakland-contracostatimescalifornia-12.txt""",Protester,1,"[[339, 368, ""Nov. 2 Occupy Oakland general""], [369, 375, ""strike""], [0, 0, """"], [430, 481, ""thousands of protesters filled the streets downtown""], [1553, 1605, ""strike, which was fairly peaceful, though windows at""], [1606, 1686, ""municipal buildings at Frank H. Ogawa Plaza were broken, Whole Foods was damaged""], [1687, 1757, ""and sprayed with graffiti and other downtown banks and businesses were""], [1758, 1769, ""vandalized.""], [3311, 3332, ""About 6,100 more than""], [3333, 3397, ""usual passengers exited the Oakland 12th Street station, he said""]]"
5047,"""5047Oakland-contracostatimescalifornia-12.txt""",Protester,4,"[[874, 948, ""Another veteran, Scott Olsen, was also taken to Highland after suffering a""], [949, 1004, ""severe fracture to his skull during an Oct. 25 protest.""]]"
5047,"""5047Oakland-contracostatimescalifornia-12.txt""",Protester,5,"[[1078, 1084, ""Friday""], [1085, 1161, ""when a group of moms and their children called the \""Colorful Mamas of the 99""], [1162, 1215, ""Percent\"" tried to enter Wells Fargo Bank in downtown.""], [1216, 1296, ""The group supported both the Occupy Wall Street and Bank Transfer Day movements.""], [1297, 1374, ""At least three moms closed their accounts before the bank locked its doors in""], [1375, 1448, ""response to the protest, which began about noon at the branch on Franklin""], [1449, 1456, ""Street.""], [3398, 3477, ""The group of 40 moms and children marched from Snow Park by Lake Merritt, where""], [3478, 3539, ""Occupy Oakland protesters still maintain about a dozen tents.""]]"
5077,"""5077Oakland-theassociatedpress-15.txt""",Protester,2,"[[1017, 1094, ""The Oakland Police Department, which also has been criticized for wounding an""], [1095, 1139, ""Iraq War veteran during an Oct. 25 skirmish,""]]"
5174,"""5174Oakland-contracostatimescalifornia-12.txt""",Protester,1,"[[3699, 3754, ""foreclosure occupation was the short-lived mob takeover""], [3755, 3827, ""of a foreclosed downtown building in Oakland that once housed a homeless""], [3828, 3844, ""services center.""]]"
5339,"""5339Oakland-www.sfgate.com1-09.txt""",Protester,1,"[[485, 550, ""Dozens of new tents sprang up outside Oakland City Hall on Friday""], [1450, 1562, ""By Friday evening, the rag-tag conglomeration at the plaza had grown from a few tents in the morning to about 60""], [1562, 1631, "", and the lawn was covered almost as completely as it had been before""], [1680, 1802, ""At 9 p.m., campers were setting up tents and building a pathway that followed the route of one in the original encampment.""], [5066, 5153, ""As the camp grew in size Friday, filmmaker Michael Moore flew in to pump up supporters.""], [5154, 5313, ""As he made his way to the front of the plaza, he was swarmed by many of the gathered 1,000 or so protesters screaming, \""We love you, Michael!\"" and \""Thank you!\""""]]"
5456,"""5456Orlando-www.wftv.com-01.txt""",Protester,1,"[[116, 174, ""Hundreds of people packed downtown Orlando Wednesday night""], [391, 441, ""Nearly 400 people rallied downtown Wednesday night""], [643, 719, ""Several members of Food Not Bombs helped coordinate Wednesday night's event.""]]"
5498,"""5498Philadelphia-abcgo.local.com-08.txt""",Protester,1,"[[290, 417, ""John F. Kennedy Boulevard had been shut down due to protestors moving from Dilworth Plaza to Thomas Paine Plaza and back again.""], [458, 516, ""10:15 p.m. as occupiers decided to move across the street.""], [632, 765, ""Once over at Paine Plaza, the occupiers were met by a group of officers that said they needed to head back due to a lack of a permit.""]]"
5498,"""5498Philadelphia-abcgo.local.com-08.txt""",Protester,3,"[[3426, 3626, ""Occupy Philadelphia demonstrators marching through downtown and stopping at the Market Street bridge, blocking traffic in the process, as part of a nationwide \""day of action.\"" 24 people were arrested.""]]"
5498,"""5498Philadelphia-abcgo.local.com-08.txt""",Protester,4,"[[4282, 4443, ""Earlier in the day, several members interrupted a session of Philadelphia City Council, expressing concern over issues including the city's new youth curfew law.""]]"
5714,"""5714Philadelphia-philadelphia.cbslocal.com-01.txt""",Protester,3,"[[765, 930, ""a group of about 40 Occupy Philadelphia protesters briefly disrupted the regular meeting of City Council Thursday morning, but left peacefully after about 10 minutes""]]"
5727,"""5727Philadelphia-www.nbcphiladelphia.com_occupyphiladelphia-02.txt""",Protester,1,"[[160, 198, ""Several hundred people rallied outside""], [199, 221, ""Philadelphia City Hall""], [222, 247, ""on Thursday as part of an""], [248, 267, ""Occupy Philadelphia""], [268, 273, ""rally""], [336, 416, ""The crowd began gathering on Thursday morning and swelled through the noon hour.""], [417, 429, ""The event on""], [430, 444, ""Dilworth Plaza""], [445, 529, ""was a mix of of speakers, demonstrators carrying signs, chanting and some musicians.""], [646, 732, ""Organizers said Thursday's demonstration is meant to be a stand by every day Americans""], [1047, 1104, ""The organizers said they have obtained the proper permits""], [1165, 1214, ""A large police force was assembled to keep order.""], [1215, 1262, ""Philadelphia Police Commissioner Charles Ramsey""]]"
5727,"""5727Philadelphia-www.nbcphiladelphia.com_occupyphiladelphia-02.txt""",Protester,2,"[[530, 645, ""An afternoon march was planned around City Hall, with police on standby to temporarily stop traffic in Center City.""], [1047, 1104, ""The organizers said they have obtained the proper permits""]]"
5782,"""5782Phoenix-theassociatedpressstatelocalwire-05.txt""",Protester,1,"[[265, 461, ""The police department says most of the costs were for the Oct. 15 and 16 national day of protest when hundreds of demonstrators gathered downtown as part of the larger Occupy Wall Street movement.""]]"
5782,"""5782Phoenix-theassociatedpressstatelocalwire-05.txt""",Protester,2,"[[265, 461, ""The police department says most of the costs were for the Oct. 15 and 16 national day of protest when hundreds of demonstrators gathered downtown as part of the larger Occupy Wall Street movement.""]]"
6049,"""6049Portland, OR-contracostatimescalifornia-11.txt""",Protester,1,"[[13383, 13472, ""About 300 people gathered at Kelly Point Park in Portland, Ore., and Kari Koch, organizer""], [13537, 13714, ""she expected hundreds more to picket the nearby terminal. Police arrested three people and seized a gun and sword from people who said they were on the way to the demonstration.""]]"
6232,"""6232Providence-WPRI12-02.txt""",Protester,1,"[[269, 340, ""Hundreds of people have converged on Burnside Park in the capital city.""], [952, 1005, ""Unofficial estimates put the crowd around 400 people.""], [1006, 1091, ""\""It's not just young kids here. The 99 percent, it's every age and every nationality.""]]"
6481,"""6481Sacramento-News10-05.txt""",Protester,1,"[[767, 941, ""About 200 people were at the meeting Tuesday night where \""Occupy Sacramento\"" members argued that it was part of their freedom of speech and assembly to be allowed to protest.""], [1362, 1457, ""The meeting was relatively calm, even when Mayor Kevin Johnson had to ask people to quiet down.""]]"
6481,"""6481Sacramento-News10-05.txt""",Protester,2,"[[1692, 1812, ""After the meeting, about 100 protestors gathered at the corner of J and 10 th streets prepared to be arrested by police.""]]"
6596,"""6596SanDiego-10news_SanDiego-05.txt""",Protester,1,"[[129, 211, ""Members of Occupy San Diego set up about 25 tents in Civic Center Plaza on Monday,""], [991, 1117, ""Occupy San Diego members marched into the plaza carrying the mini-tents and chanted their manifesto, which included the phrase""]]"
6596,"""6596SanDiego-10news_SanDiego-05.txt""",Protester,2,"[[284, 381, ""Numerous tents were set up throughout the plaza after the Occupy San Diego movement began Oct. 7,""]]"
6682,"""6682SanDiego-citynewsservice-11.txt""",Protester,1,"[[594, 770, ""About 1:30 p.m. Thursday, Bank of America on B Street closed four and a half hours early due to the 30 to 40 Occupy protestors who sat in a loose circle in front of the branch,""], [809, 1005, ""San Diego police Capt. Mark Jones told the newspaper that the protest was allowed to continue because no one's bank access was being restricted and the protesters were in areas open to the public.""]]"
6682,"""6682SanDiego-citynewsservice-11.txt""",Protester,2,"[[354, 425, ""one day after a few dozen protestors moved from the Civic Center Plaza,""], [460, 502, ""to outside a Bank of America branch office""]]"
6719,"""6719SanDiego-NBCSanDiego-01.txt""",Protester,2,"[[1447, 1582, ""After the press conference at the SDPD headquarters, members of the occupation gathered and chanted that they wanted their people back.""]]"
6931,"""6931SanFrancisco-november172011thursday1033amgmt-15.txt""",Protester,1,"[[79, 154, ""Occupy San Francisco protesters arrested after taking over Bank of America;""], [155, 317, ""Police arrested scores of anti-Wall Street protesters in San Francisco on Wednesday after they occupied a Bank of America branch in the city's financial district.""], [318, 353, ""Demonstrators flooded into the bank""], [486, 675, ""The group set up a tent inside the bank branch as more than 100 bystanders watched from outside and police in riot helmets arrested the occupiers one by one, bringing them to a waiting bus.""], [676, 709, ""One protester waved a sign inside""], [738, 821, ""Another held up a sign to a local television station that said they were protesting""], [898, 920, ""The protesters chanted""], [946, 968, ""as they were arrested,""], [1117, 1342, ""Officer Albie Esparza, a police department spokesman, said 95 demonstrators were arrested in connection with Wednesday's bank protest, most on suspicion of trespassing. He said there were \""no claims of injury on either side.\""""]]"
6931,"""6931SanFrancisco-november172011thursday1033amgmt-15.txt""",Protester,2,"[[361, 485, ""an organised march that began at the protesters' downtown encampment and ended at a state office building a few blocks away.""], [1343, 1503, ""Earlier during the march, the protesters, who carried American flags and signs and beat on drums, could be seen on a Ustream online video of the scene chanting,""], [1561, 1618, ""One threw a small bunch of flowers at the feet of police.""]]"
6955,"""6955SanFrancisco-NBCBayArea-08.txt""",Protester,1,"[[535, 621, ""The campers, who have been set up in the park near The Embarcadero since early October""]]"
6995,"""6995SanFrancisco-SFExaminer-03.txt""",Protester,1,"[[348, 405, ""built a growing makeshift camp on Market Street this week""], [466, 486, ""The group began as a""], [518, 525, ""camping""], [526, 596, ""outside the Bank of America building on California Street on Sept. 17,""], [709, 780, ""Protesters march in downtown San Francisco to Wells Fargo headquarters.""], [1548, 1659, ""In San Francisco, protesters initially spent about a week at the Bank of America building at 555 California St.""]]"
7005,"""7005SanFrancisco-SFExaminer-03.txt""",Protester,3,"[[1149, 1243, ""Another group of protesters left from outside of the bank and were headed toward Civic Center,""]]"
7005,"""7005SanFrancisco-SFExaminer-03.txt""",Protester,4,"[[2197, 2311, ""Around 1:30 p.m., the protesters sat down on Battery Street between Pacific Avenue and Broadway, blocking traffic.""]]"
7030,"""7030SanFrancisco-SFExaminer-03.txt""",Protester,1,"[[565, 665, ""Later in the day, protesters attempted to reclaim the plaza and had a three-hour standoff with cops.""], [666, 760, ""\""We don’t have any reports, at least at this time, of any of the Occupy people being injured,\""""], [829, 914, ""Some protesters complained of injuries, but it wasn’t clear whether any were serious.""]]"
7216,"""7216Santa Cruz-montereycountyheraldcalifornia-06.txt""",Protester,2,"[[399, 483, ""what Occupy says is a splinter group that took over a former bank building last week""], [609, 624, ""since Wednesday""], [683, 703, ""No arrests were made""]]"
7235,"""7235Santa Cruz-Sentinel_SantaCruz-04.txt""",Protester,1,"[[124, 240, ""About 150 Occupy Santa Cruz protesters joined hands Sunday at Lighthouse Point Sunday in a human-chain demonstration""], [613, 709, ""The gathering included people of all ages and levels of involvement in the mushrooming movement.""], [1549, 1822, ""before the group stretched out along the railing fronting Monterey Bay, lining up toward Pelton Avenue and reaching bleachers erected for next week's Cold Water Classic. West Cliff Drive was bustling on a sunny fall day, and several motorists honked horns as they drove by.""], [2128, 2205, ""Demonstrators held a series of signs that made sense only when held together.""], [3435, 3509, ""Shepardson said the human chain went well, and that more are in the works.""], [3510, 3727, ""\""It was excellent,\"" he said. \""There was a really good turnout and we got a lot of good public support. I think a lot of people who spent time out there on West Cliff got at least a little glimpse of what we're about.\""""]]"
7235,"""7235Santa Cruz-Sentinel_SantaCruz-04.txt""",Protester,2,"[[1465, 1548, ""The demonstration began with music by the Sadza Marimba Band and a brief noon rally""]]"
7371,"""7371Seattle-theassociatedpressstatelocalwire-13.txt""",Protester,2,"[[782, 917, ""Midday Thursday, some joined union outside the Grand Hyatt, where GOP presidential candidate Mitt Romney was holding a noon fundraiser.""]]"
7436,"""7436Seattle-q13fox_Seattle-06.txt""",Protester,1,"[[240, 345, ""Occupy Seattle held a rally in support of National Bank Transfer Day at Westlake Park at 1 p.m. Saturday.""], [636, 848, ""A number of supporters went into the downtown Seattle Chase bank to close their accounts. The group marched in a peaceful and orderly way. Police were present and officers did not need to intercede with the group""], [2462, 2633, ""Today's rally included performances by singer Jim Page, the trip-hop group Surrealized, America’s Got Talent alum Jen Seaman and comedians Travis Simmons and Nigel Larson.""]]"
7504,"""7504Sebastopol-WatchSonomaCounty-03.txt""",Protester,1,"[[142, 240, ""Occupy Sebastopol demonstrators put their voices, and their feet, behind the movement on Saturday.""], [241, 343, ""Tim Ryan, 23, of the west county, protests with Occupy Sebastopol on Saturday outside Wells Fargo Bank""], [1152, 1473, ""The march passed the branches of several national banks, where supporters pumped their fists and chanted their dissatisfaction with traditional financial institutions. A few exuberant demonstrators shouted directly at a woman who was trying to exit the Bank of America, until another supporter persuaded them to back off.""], [1474, 1705, ""Otherwise, there were no confrontations as the group walked along downtown sidewalks, followed intermittently by a police sergeant who tailed them in his patrol car and later thanked the group for “how you conducted your business.”""], [1706, 1743, ""It was their second Sebastopol march.""]]"
7678,"""7678Tacoma-theassociatedpressstatelocalwire-08.txt""",Protester,1,"[[209, 326, ""The last five or six Occupy Tacoma demonstrators finished packing up Monday morning and cleared out of Pugnetti Park.""]]"
7721,"""7721Tampa-CBS10-04.txt""",Protester,1,"[[690, 766, ""On Saturday, Occupy Tampa set up for the first time in Voice of Freedom Park""], [766, 874, "", offering food and clothing donations to the surrounding neighborhood in collaboration with Food Not Bombs.""]]"
7899,"""7899Tulsa-Fox23_Tulsa-05.txt""",Protester,1,"[[104, 124, ""Occupy Tulsa rallied""], [182, 199, ""Thursday evening.""], [540, 626, ""for a few hours close to 50 people stood outside the David L. Moss Correctional Center""], [648, 658, ""this rally""]]"
8047,"""8047WashingtonDC-CBS9-03.txt""",Protester,1,"[[516, 672, ""Waving flags and carrying a giant banner with the preamble to the Constitution, hundreds of protestors left Freedom Plaza to march across the National Mall.""], [1268, 1376, ""Even some of the people caught in traffic are supportive. \""Free speech, right?\"" \""It's great.\"" \""Help people.\""""], [1173, 1267, ""But there have been no arrests -- the police are going out of their way to escort the marches.""]]"
8136,"""8136WashingtonDC-thewashingtonpost-06.txt""",Protester,1,"[[159, 540, ""Raheem DeVaughn says he didn't set out to commit civil disobedience Sunday - he planned only to hear Cornel West speak to the Occupy D.C. protest. But one thing led to another, and the Grammy-nominated crooner got himself arrested, along with West and 17 other protesters, for refusing to leave the steps of the Supreme Court. They were released a day later - no fines, no charges.""], [631, 877, "". \""It was pretty by-the-book, standard procedure,\"" he said over the phone. The police were \""pretty pleasant,\"" for the most part. \""They had one bad apple out of the crew.\"" Oooh, what did he do? Well, nothing, really. \""It was just his energy, man,\""""]]"
8297,"""8297Youngstown-CopyofCopyofCBS27-02.txt""",Protester,1,"[[281, 341, ""well off Masury Road near Interstate 80 in Hubbard Township.""], [342, 470, ""That's where Occupy Youngstown members staged a protest with their message: There's too many unknowns for the project to happen.""]]"
