q_name,weights,col
0.01,0.1,0.01.01
0.01,0.1,0.01.04
0.01,0.1,0.01.03
0.01,0.1,0.01.05
0.01,0.1,0.01.02
1.01,0.1,1.01.02
1.01,0.1,1.01.01
1.01,0.1,1.01.12
1.01,0.1,1.01.05
1.01,0.1,1.01.14
1.01,0.1,1.01.13
1.01,0.1,1.01.06
1.01,0.1,1.01.09
1.01,0.1,1.01.00
1.01,0.1,1.01.04
1.01,0.1,1.01.11
1.01,0.1,1.01.03
1.01,0.1,1.01.08
1.01,0.1,1.01.07
1.02,0.1,1.02.00
1.02,0.1,1.02.06
1.02,0.1,1.02.08
1.02,0.1,1.02.02
1.02,0.1,1.02.05
1.03,0.1,1.03.00
1.03,0.1,1.03.05
1.03,0.1,1.03.03
1.03,0.1,1.03.01
1.04,0.1,1.04.00
1.04,0.1,1.04.07
1.04,0.1,1.04.03
1.04,0.1,1.04.02
1.06,0.1,1.06.00
1.06,0.1,1.06.01
1.06,0.1,1.06.03
1.07,0.1,1.07.01
1.07,0.1,1.07.02
1.07,0.1,1.07.04
1.07,0.1,1.07.03
1.07,0.1,1.07.00
1.08,0.1,1.08.04
1.08,0.1,1.08.08
1.08,0.1,1.08.05
1.08,0.1,1.08.00
1.08,0.1,1.08.03
1.08,0.1,1.08.02
1.08,0.1,1.08.01
1.08,0.1,1.08.07
1.08,0.1,1.08.09
1.08,0.1,1.08.06
1.10,0.1,1.10.04
1.10,0.1,1.10.03
1.10,0.1,1.10.01
1.10,0.1,1.10.00
1.10,0.1,1.10.06
1.10,0.1,1.10.02
1.11,0.5,1.11.00
1.11,0.5,1.11.01
1.12,0.5,1.12.01
1.12,0.5,1.12.00
1.23,0.1,1.23.06
1.23,0.1,1.23.01
1.23,0.1,1.23.04
1.23,0.1,1.23.00
1.23,0.1,1.23.03
1.23,0.1,1.23.02
1.23,0.1,1.23.07
1.23,0.1,1.23.05
1.24,0.1,1.24.01
1.24,0.1,1.24.09
1.24,0.1,1.24.00
1.24,0.1,1.24.06
1.24,0.1,1.24.08
1.24,0.1,1.24.03
1.24,0.1,1.24.10
1.24,0.1,1.24.05
1.24,0.1,1.24.11
1.24,0.1,1.24.02
1.25,0.1,1.25.03
1.25,0.1,1.25.05
1.25,0.1,1.25.04
1.25,0.1,1.25.06
1.25,0.1,1.25.00
1.25,0.1,1.25.02
1.25,0.1,1.25.01
1.26,0.1,1.26.00
1.26,0.1,1.26.12
1.26,0.1,1.26.01
1.26,0.1,1.26.11
1.27,0.1,1.27.00
1.27,0.1,1.27.01
1.27,0.1,1.27.03
1.27,0.1,1.27.02
1.27,0.1,1.27.07
1.28,0.1,1.28.07
1.28,0.1,1.28.02
1.28,0.1,1.28.06
1.28,0.1,1.28.00
1.28,0.1,1.28.05
1.28,0.1,1.28.01
1.28,0.1,1.28.03
1.28,0.1,1.28.04
1.29,0.1,1.29.00
1.29,0.1,1.29.07
1.29,0.1,1.29.04
1.29,0.1,1.29.03
1.30,0.1,1.30.01
1.30,0.1,1.30.21
1.30,0.1,1.30.22
1.30,0.1,1.30.00
1.30,0.1,1.30.06
1.30,0.1,1.30.15
1.30,0.1,1.30.03
1.30,0.1,1.30.24
1.30,0.1,1.30.23
1.30,0.1,1.30.09
1.30,0.1,1.30.17
1.30,0.1,1.30.16
1.31,0.1,1.31.02
1.31,0.1,1.31.05
1.31,0.1,1.31.04
1.31,0.1,1.31.00
1.31,0.1,1.31.01
1.31,0.1,1.31.03
1.33,0.1,1.33.04
1.33,0.1,1.33.00
1.33,0.1,1.33.05
1.33,0.1,1.33.06
1.33,0.1,1.33.02
1.33,0.1,1.33.03
1.33,0.1,1.33.07
1.33,0.1,1.33.01
1.35,0.1,1.35.00
1.35,0.1,1.35.04
1.35,0.1,1.35.06
1.35,0.1,1.35.01
1.35,0.1,1.35.02
1.35,0.1,1.35.03
1.36,0.1,1.36.00
1.36,0.1,1.36.04
1.36,0.1,1.36.03
1.36,0.1,1.36.09
1.36,0.1,1.36.01
1.36,0.1,1.36.05
3.01,1,3.01.00
3.01,1,3.01.01
3.01,1,3.01.03
3.01,1,3.01.02
3.02,0.1,3.02.00
3.02,0.1,3.02.05
3.02,0.1,3.02.03
3.02,0.1,3.02.04
3.02,0.1,3.02.02
3.02,0.1,3.02.01
3.03,0.1,3.03.00
3.03,0.1,3.03.13
3.04,0.1,3.04.00
3.04,0.1,3.04.01
3.05,0.1,3.05.00
3.05,0.1,3.05.06
3.05,0.1,3.05.01
3.05,0.1,3.05.03
3.06,0.1,3.06.00
3.06,0.1,3.06.01
3.06,0.1,3.06.02
3.07,0.1,3.07.00
3.07,0.1,3.07.02
3.07,0.1,3.07.06
3.07,0.1,3.07.05
3.07,0.1,3.07.03
3.07,0.1,3.07.04
3.07,0.1,3.07.01
3.08,0.1,3.08.00
3.08,0.1,3.08.02
3.08,0.1,3.08.06
3.08,0.1,3.08.03
3.08,0.1,3.08.23
3.08,0.1,3.08.09
3.08,0.1,3.08.10
3.08,0.1,3.08.01
3.08,0.1,3.08.04
3.08,0.1,3.08.11
3.08,0.1,3.08.07
3.08,0.1,3.08.12
3.08,0.1,3.08.14
3.08,0.1,3.08.15
3.08,0.1,3.08.05
3.08,0.1,3.08.22
3.09,0.1,3.09.00
3.09,0.1,3.09.14
3.09,0.1,3.09.13
3.09,0.1,3.09.04
3.09,0.1,3.09.03
3.09,0.1,3.09.12
4.01,0.1,4.01.00
4.01,0.1,4.01.01
4.01,0.1,4.01.03
4.01,0.1,4.01.02
4.03,0.1,4.03.00
4.03,0.1,4.03.03
4.03,0.1,4.03.01
4.03,0.1,4.03.02
4.04,0.1,4.04.00
4.04,0.1,4.04.01
4.05,0.1,4.05.00
4.05,0.1,4.05.01
4.05,0.1,4.05.08
4.05,0.1,4.05.10
4.05,0.1,4.05.04
4.06,0.1,4.06.00
4.06,0.1,4.06.02
4.06,0.1,4.06.03
4.06,0.1,4.06.01
4.07,0.1,4.07.00
4.07,0.1,4.07.02
4.07,0.1,4.07.07
4.07,0.1,4.07.01
4.07,0.1,4.07.06
4.07,0.1,4.07.04
4.07,0.1,4.07.03
4.08,0.1,4.08.00
4.08,0.1,4.08.03
4.08,0.1,4.08.01
4.10,0.1,4.10.00
4.10,0.1,4.10.03
4.10,0.1,4.10.01
4.10,0.1,4.10.02
4.11,0.1,4.11.00
4.11,0.1,4.11.05
4.11,0.1,4.11.07
4.12,0.1,4.12.00
4.12,0.1,4.12.03
4.12,0.1,4.12.01
4.13,0.1,4.13.00
4.17,0.1,4.17.00
4.17,0.1,4.17.03
4.17,0.1,4.17.02
4.19,0.1,4.19.00
4.19,0.1,4.19.07
5.01,0.1,5.01.00
5.01,0.1,5.01.02
5.01,0.1,5.01.03
5.01,0.1,5.01.08
5.01,0.1,5.01.07
5.01,0.1,5.01.04
5.01,0.1,5.01.01
5.02,0.1,5.02.00
5.02,0.1,5.02.03
5.02,0.1,5.02.01
5.02,0.1,5.02.02
5.03,0.1,5.03.00
5.03,0.1,5.03.03
5.03,0.1,5.03.04
5.03,0.1,5.03.05
5.04,0.1,5.04.00
5.04,0.1,5.04.02
5.04,0.1,5.04.05
5.04,0.1,5.04.01
5.05,0.1,5.05.00
5.05,0.1,5.05.03
5.05,0.1,5.05.01
5.05,0.1,5.05.04
5.05,0.1,5.05.05
5.08,0.1,5.08.00
5.08,0.1,5.08.03
5.08,0.1,5.08.02
5.08,0.1,5.08.05
5.08,0.1,5.08.04
6.01,1,6.01.00
6.01,1,6.01.02
6.01,1,6.01.03
6.01,1,6.01.01
6.02,0.1,6.02.00
6.02,0.1,6.02.01
6.02,0.1,6.02.02
6.04,0.1,6.04.00
6.04,0.1,6.04.07
6.07,1,6.07.00
6.07,1,6.07.03
6.07,1,6.07.01
6.08,0.1,6.08.00
6.08,0.1,6.08.10
6.08,0.1,6.08.04
6.08,0.1,6.08.09
6.08,0.1,6.08.08
6.08,0.1,6.08.01
6.08,0.1,6.08.02
6.09,1,6.09.00
6.09,1,6.09.01
6.09,1,6.09.03
6.10,1,6.10.00
6.10,1,6.10.03
6.10,1,6.10.01
6.10,1,6.10.02
